subject,stimulus,response,reactionTime
pot_pat,"5,3",diff,4.219274997711182
pot_pat,"1,2",same,3.191615104675293
pot_pat,"7,6",same,2.463162899017334
pot_pat,"2,4",diff,3.1042320728302
pot_pat,"2,3",diff,3.2902638912200928
pot_pat,"3,1",diff,2.772083044052124
pot_pat,"6,6",same,2.4308788776397705
pot_pat,"7,5",same,2.2852749824523926
pot_pat,"4,4",same,2.422757148742676
pot_pat,"7,1",diff,2.316991090774536
pot_pat,"6,5",same,24.700204133987427
pot_pat,"4,6",diff,3.518601179122925
pot_pat,"2,7",diff,2.5121209621429443
pot_pat,"3,5",diff,2.576545000076294
pot_pat,"1,1",same,2.7256460189819336
pot_pat,"7,7",same,2.4305121898651123
pot_pat,"3,2",same,3.2086520195007324
pot_pat,"5,7",same,2.300110101699829
pot_pat,"4,5",same,2.1566638946533203
pot_pat,"7,2",diff,2.635023832321167
pot_pat,"1,7",diff,2.2455689907073975
pot_pat,"2,2",same,3.7364001274108887
pot_pat,"4,3",same,2.3660571575164795
pot_pat,"6,7",same,2.3540799617767334
pot_pat,"5,4",diff,3.455077886581421
pot_pat,"6,4",diff,3.2646889686584473
pot_pat,"3,3",diff,2.469801902770996
pot_pat,"5,6",same,2.3997671604156494
pot_pat,"2,1",same,2.3364040851593018
pot_pat,"4,2",diff,2.5866029262542725
pot_pat,"5,5",same,3.2427449226379395
pot_pat,"3,4",same,2.970465898513794
pot_pat,"1,3",diff,2.7958340644836426
